Nombre,Latitud,Longitud,Color,Etiqueta
puente llantas grises,5.249483306,-75.73702595,0,
esquina occidente sabedores,5.249151981,-75.73709213,0,
Marcador sin tÃ­tulo,5.2492265,-75.7370311,0,
esquina oriente huerta sabedores,5.249230695,-75.73684667,0,
esquina sur huerta sabedores,5.249133505,-75.73697494,0,
palo alto,5.249094228,-75.7369709,0,
Marcador sin tÃ­tulo,5.2490088,-75.7369651,0,
Marcador sin tÃ­tulo,5.249045254,-75.73691836,0,
esquina sur finca,5.249001473,-75.73692782,0,
palo alto malo,5.249331889,-75.73664044,0,
amarilla leonidas 1,5.249303557,-75.73655649,0,amarilla_leonidas
amarilla leonidas 4,5.249350534,-75.73657374,0,amarilla_leonidas
amarilla leonidas 8,5.249464841,-75.73657382,0,amarilla_leonidas
amarilla leonidas 12,5.249622975,-75.73662152,0,amarilla_leonidas
amarilla leonidas 16,5.249686368,-75.73659784,0,amarilla_leonidas
amarilla guadual 1,5.249669188,-75.73643614,0,amarilla_guadual
amarilla guadual 3,5.249679184,-75.73651518,0,amarilla_guadual
amarilla guadual 6,5.249689019,-75.73656309,0,amarilla_guadual
amarilla guadual 9,5.249807393,-75.73654676,0,amarilla_guadual
amarilla guadual 12,5.249855017,-75.73656806,0,amarilla_guadual
amarilla guadual 15,5.249881914,-75.73654261,0,amarilla_guadual
amarilla guadual 17,5.249971866,-75.73658401,0,amarilla_guadual
roble alto,5.250013602,-75.73659139,0,
mango esquinero,5.25002957,-75.73652167,0,
palo doble,5.249892327,-75.73670782,0,
palo solo,5.249893068,-75.73684893,0,
palo camino,5.249806631,-75.73670626,0,
palo centro tajo,5.249804084,-75.73662812,0,
guaduas camino,5.249746572,-75.73669553,0,
cuadrado norte,5.249487598,-75.73673571,0,
cuadrado sur,5.249442875,-75.73671036,0,
ciruelo,5.249379743,-75.7369309,0,
c,5.249234598,-75.73702357,0,
gn1,5.249419854,-75.73700259,0,gn
gn4,5.249428241,-75.73694502,0,gn
gn7,5.249419246,-75.73689951,0,gn
gn8,5.249406784,-75.73683738,0,gn
gn9,5.24942055,-75.73678206,0,gn
gb10platanera,5.249447622,-75.7367442,0,gn
gn11palocuadradooccidente,5.249478496,-75.73669919,0,gn
gn13platanera,5.249585827,-75.73666226,0,gn
gn14,5.249640751,-75.73667602,0,gn
gn15,5.249696876,-75.73668336,0,gn
gn16entradacamino,5.249736804,-75.73665625,0,gn
casa albeiro muñoz presidente el limón,5.248692503028982,-75.74509709394272
casa bonita en el camino,5.249207471418818,-75.74456751868745
casetica en el camino,5.249579676706079,-75.74419914100081
hernan giraldo,5.250830102670139,-75.74319590612181
platanera bonita,5.251595628532111,-75.74239147983401
nando giraldo,5.251327083794447,-75.74143661155182
camino alterno,5.25138250463339,-75.74168632334991
camino cerrado,5.251072820955949,-75.74184106159134
tanque,5.252233637277087,-75.74038802442116
albeiro uribe camioneta blanca,5.251909222856455,-75.73970780296943
nando rendón,5.25117481553599,-75.73891848079633
marcos morales,5.251203002781204,-75.73837164240872
Alberto Muñoz,5.251820121524601,-75.73719531594752
Carlos Muñoz infancia,5.251999263230144,-75.73702032499396
rogelio trejos,5.252866534141871,-75.73655020594707
casa nueva evenis palacios,5.252794703597952,-75.73550247977442
ramada don ramón,5.253082577254052,-75.73540179459823
don ramón,5.253710284168451,-75.73497926891005
israel trejos,5.254778231895701,-75.73959008503699
yuli alzate mujer de albeiro,5.254435339896876,-75.73801885447462
entrada camino picapiedra,5.240772950654617,-75.74084796356894
baudilio vanegas,5.241834444093466,-75.74005411263569
mamá de bernabé,5.242092734250657,-75.73892104540202
omar mejía,5.242618387433174,-75.74023120602733
casa con burro,5.242724907554694,-75.74004736207478
señor almorzando,5.243075284539882,-75.73941904370066
antigua casa rubiel angel,5.243665963521996,-75.73884859383168
quebrada,5.244065354975517,-75.73810862699671
camino y quebrada,5.245428211096642,-75.73688811932787
ofir,5.247571522015693,-75.73643528782792
cochera leo,5.247570475607393,-75.73597321103293
canec,5.247011334654636,-75.73682990139686
